title,thumbnail,short_content,write_time,link,company
8개월 만에 나온 '지방행정체재 개편 권고안'...행정통합 불 지필까,https://thumb.mt.co.kr/04/2025/01/2025012212174852596_1.jpg,지방행정체제의 윤곽이 나오면서 행정통합의 불씨가 살아날지 관심이 쏠린다. 행정안전부 소속 민간 자문위원회인 미래지향적 행정체제 개...,2025.01.22 16:42,https://news.mt.co.kr/mtview.php?no=2025012212174852596&type=2&sec=politics&pDepth2=Ptotal,머니투데이
"특허청, 국제지식재산 교육플랫폼 전면 개편… 학습 편의기능 대폭 ↑",https://thumb.mt.co.kr/04/2025/01/2025012215595233211_1.jpg,"특허청 국제지식재산연수원은 전 세계 외국인(일반인, 기업인, 학생, 공무원 등)을 대상으로 지식재산 교육 서비스를 제공하는 '국제 지식...",2025.01.22 16:42,https://news.mt.co.kr/mtview.php?no=2025012215595233211&type=2&sec=politics&pDepth2=Ptotal,머니투데이
공공주도형 해상풍력 입찰 추진…발전공기업·민간기업 협력,https://thumb.mt.co.kr/04/2025/01/2025012215043750554_1.jpg,정부가 올해 발전공기업 등이 주도적으로 참여하는 공공주도형 해상풍력 입찰을 추진한다. 산업통상자원부는 22일 최남호 산업부 2차관 주...,2025.01.22 16:25,https://news.mt.co.kr/mtview.php?no=2025012215043750554&type=2&sec=politics&pDepth2=Ptotal,머니투데이
서울 주택시가총액 2320조…전국 주택시총 68%가 수도권,https://thumb.mt.co.kr/04/2025/01/2025012213514646471_1.jpg,서울의 주택시가총액이 전국의 34%를 차지하는 것으로 나타났다. 수도권(서울·경기·인천)의 주택시가총액은 전국 주택시가총액의 약 68%...,2025.01.22 16:00,https://news.mt.co.kr/mtview.php?no=2025012213514646471&type=2&sec=politics&pDepth2=Ptotal,머니투데이
"환경부, 민간기업과 수소버스 도입 확대 업무협약 체결",https://thumb.mt.co.kr/04/2025/01/2025012214081977671_1.jpg,"환경부는 수소 통근버스 도입 확대를 위해 원더모빌리티, 삼성물산(에버랜드), 효성하이드로젠, 현대자동차 등과 업무협약을 체결했다고 22...",2025.01.22 16:00,https://news.mt.co.kr/mtview.php?no=2025012214081977671&type=2&sec=politics&pDepth2=Ptotal,머니투데이
"의사 공보의 706명 필요한데, 모집은 250명만…""지역의료 소멸 우려""",https://thumb.mt.co.kr/04/2025/01/2025012215333834507_1.jpg,정부가 수요 대비 적은 수의 공중보건의(공보의)를 모집해 지역의료 공백이 심화하는 것 아니냐는 우려가 나온다. 공보의 단체는 정부가 의...,2025.01.22 15:59,https://news.mt.co.kr/mtview.php?no=2025012215333834507&type=2&sec=politics&pDepth2=Ptotal,머니투데이
"원/달러 환율 종가, 1.9원 내린 1437.6원",,22일 서울 외환시장. 원/달러 환율 오후 3시30분 종가. ...,2025.01.22 15:30,https://news.mt.co.kr/mtview.php?no=2025012215185999871&type=2&sec=politics&pDepth2=Ptotal,머니투데이
베일 벗은 지방행정체제 개편 밑그림…지방 주도 '행정통합' 권고,https://thumb.mt.co.kr/04/2025/01/2025012209022365048_1.jpg,올해 지방자치 30주년을 맞아 새로운 지방행정체제의 밑그림이 나왔다. 행정안전부 소속 민간 자문위원회인 '미래지향적 행정체제개편 자문...,2025.01.22 15:30,https://news.mt.co.kr/mtview.php?no=2025012209022365048&type=2&sec=politics&pDepth2=Ptotal,머니투데이
"AI 데이터센터 산단·산업AI 기금 조성…""산업 AI 확산""",https://thumb.mt.co.kr/04/2025/01/2025012211393166107_1.jpg,"정부가 인공지능(AI) 자율제조 분야 선도 프로젝트를 올해 말 60개, 2027년까지 200개 선정한다. AI 산업에 안정적인 전력을 공급하기 ...",2025.01.22 15:09,https://news.mt.co.kr/mtview.php?no=2025012211393166107&type=2&sec=politics&pDepth2=Ptotal,머니투데이
"崔대행 ""APEC정상회의, 정치·경제시스템 정상화 확인시킬 기회""",https://thumb.mt.co.kr/04/2025/01/2025012214314648407_1.jpg,최상목 대통령 권한대행 부총리 겸 기획재정부 장관이 오는 11월 경북 경주에서 열리는 '2025년 아시아태평양경제협력체(APEC) 정상회...,2025.01.22 15:00,https://news.mt.co.kr/mtview.php?no=2025012214314648407&type=2&sec=politics&pDepth2=Ptotal,머니투데이
