title,thumbnail,short_content,write_time,link,company
"안보실 ""尹·김여사 직보 비밀조직? 터무니 없는 가짜뉴스""",https://img.asiatoday.co.kr/file/2025y/01m/22d/20250122010012219_250.jpg,"국가안보실은 22일 ""국가안보실에 재직 중인 HID(북파공작원) 근무 경력 인원이 근무하고 있는 팀은 비밀조직이 아니라, 위기관리센터에 배치된 정보융합팀""이라고 밝혔다. MBC는 이날 'HID 요원 들어간 안보실 '비밀 TF' 정체는?.. 누구 위해 일했나?'라는 제목의 기사를 통해 해당 조직이 윤석열 대통령이나 김건희 여사에게 직접 보고하는 별도 정보 조직일 가능성이 높다는 의혹을 제기했다.국가안보실은 이날 공지를 통해 ""어떻게든 계엄 정국..",,https://www.asiatoday.co.kr/kn/view.php?key=20250122010012219,아시아투데이
"베트남, '민간인 학살' 韓 정부 배상 책임 인정 2심에 ""환영""",https://img.asiatoday.co.kr/file/2025y/01m/22d/20250122010012216_250.jpg,"베트남이 베트남 전쟁 당시 한국군에 의한 민간인 학살에 따른 피해를 한국 정부가 배상해야 한다는 2심 판결에 대해 ""환영한다""는 입장을 밝혔다. 22일 베트남외교부에 따르면 팜 투 항 베트남 외교부 대변인은 지난 17일 서울중앙지법 민사항소3-1부(이중민 김소영 장창국 부장판사)의 판결에 대해 환영한다는 입장을 밝히며 ""역사적 진실을 반영하며 '과거를 제쳐두고 미래를 향한다'는 정신을 실현하는 데 기여하는 판결""이라고 밝혔다. 항 대변인은 ""..",,https://www.asiatoday.co.kr/kn/view.php?key=20250122010012216,아시아투데이
"'표 대결 D-1' 고려아연, 손자회사로 반격 나서",https://img.asiatoday.co.kr/file/2025y/01m/22d/20250122010012212_250.jpg,고려아연이 영풍·MBK파트너스와의 표 대결이 예정된 임시주주총회를 하루 앞두고 손자회사를 통해 영풍 지분을 취득하는 승부수를 던졌다. 이렇게 되면 영풍의 고려아연 의결권 행사가 제한된다. 전날까지만해도 최윤범 회장 측의 무기였던 집중투표제를 통한 이사 선임이 이번 임시주총에서 무산되면서 수세에 몰렸지만 다시 반전을 꾀하는 그림이다. 다만 MBK 측이 강력 반발 중이어서 임시주총에서 진통이 예상된다. 22일 고려아연은 손자회사인 선메탈코퍼레이션..,,https://www.asiatoday.co.kr/kn/view.php?key=20250122010012212,아시아투데이
"SKT 유영상, 美 스타게이트 프로젝트에 ""우리도 노력해보겠다""",https://img.asiatoday.co.kr/file/2025y/01m/22d/20250122010012205_250.jpg,"유영상 SK텔레콤 사장이 오픈AI, 소프트뱅크, 오라클 등 글로벌 빅테크의 대규모 AI 투자와 관련해 ""한국에도 (유사한) 프로젝트가 생길 수 있도록 노력하겠다""고 밝혔다.유 사장은 22일 서울 강남구 코엑스에서 열린 '2025 방송통신인 신년인사회'에서 미국의 사상 최대 AI 인프라 프로젝트 '스타게이트'에 대해 ""진짜라고 하면 굉장한 프로젝트인데, 우리나라에서도 그런 프로젝트가 생겨야 될 것""이라며 ""국내에서도 그런 프로젝트가 생길 수 있..",,https://www.asiatoday.co.kr/kn/view.php?key=20250122010012205,아시아투데이
트럼프 '내달 10% 관세' 언급에 中 반발,https://img.asiatoday.co.kr/file/2025y/01m/22d/20250122010012204_250.jpg,"중국이 자국에 대한 고율 관세 부과를 공언해온 도널드 트럼프 미국 대통령이 내달부터 추가 관세를 적용할 수 있다는 입장을 밝히자 ""무역 전쟁에는 승자가 없다""는 종전 입장을 재확인했다. 더불어 미국과 소통할 용의가 있다고도 밝혔다. 사실상 소극적으로 반발했다고 볼 수 있다. 마오닝(毛寧) 중국 외교부 대변인은 22일 열린 정례 브리핑에서 ""이 문제에 관해 우리는 여러 차례 중국 입장을 표명했다""면서 ""우리는 시종 무역전쟁과 관세전쟁에는 승자..",,https://www.asiatoday.co.kr/kn/view.php?key=20250122010012204,아시아투데이
몬트리올올림픽 女배구 “큰 영광 있도록 응원”,https://img.asiatoday.co.kr/file/2025y/01m/22d/20250122010012202_250.jpg,"한국 구기 종목 사상 최초로 올림픽에서 메달을 획득한 1976 몬트리올올림픽 여자배구 국가대표 선수들이 대한배구협회로부터 특별공로패를 받았다. 대한배구협회는 22일 서울 청담동 호텔리베라에서 2025년 정기대의원총회와 여자배구 올림픽 메달 획득 50주년 기념행사를 개최했다. 먼저 정기대의원총회에서는 지난해 사업 실적 및 결산에 대한 심의, 정관 개정 등이 다뤄졌다. 우리나라 배구 발전에 기여한 유공자를 포상하는 자리도 가졌다. 최근 3선에 성..",,https://www.asiatoday.co.kr/kn/view.php?key=20250122010012202,아시아투데이
이것이 전략이다! 두뇌 풀가동한 갓앤데몬 덱 구성,https://img.asiatoday.co.kr/file/2025y/01m/22d/20250122001909156_250.jpg,"컴투스의 방치형 MMORPG 신작 갓앤데몬의 가장 특징 중 하나는 전략성이다. 다양한 능력을 갖춘 영웅과 종족을 고려한 치밀한 덱 구성을 기반으로 최적의 결과를 만들어야 한다.성능 좋은 신족과 마족 영웅을 10성까지 올려 사용할 수 있다면 좋겠지만 현실적으로 어렵다. 그렇기에 주어진 환경에서 영웅간 시너지를 고려한 덱을 꾸리는 것이 중요하다. 덱을 잘 꾸린다면 보이는 전투력 그 이상의 성능을 발휘할 수 있다.기본적으로 갓앤데몬 영웅들은 딜러,..",,https://www.asiatoday.co.kr/kn/view.php?key=20250122001909156,아시아투데이
"한파 맞은 현대제철, 반등의 키는 '글로벌 차강판'",https://img.asiatoday.co.kr/file/2025y/01m/22d/20250122010012199_250.jpg,건설경기 침체와 저가 공세의 이중고로 지난해 영업이익이 60% 급감한 현대제철이 반등의 활로로 자동차용 강판을 낙점했다. 지속되는 불황 속 자동차 강판 전문 철강사로의 정체성을 앞세워 고부가 판재 제품의 비중을 키워가며 시장의 변화에 대응하고 내실 역시 챙기겠다는 복안이다.22일 현대제철은 실적발표 컨퍼런스콜을 통해 현재 19% 수준인 글로벌 자동차향 판매 비중을 2030년까지 전체 차강판 매출의 30%로 확대한다고 밝혔다. 건설시황 부진 지..,,https://www.asiatoday.co.kr/kn/view.php?key=20250122010012199,아시아투데이
'혁신에 진심' 삼성SDI. R&D 투자금액 최고치 전망,https://img.asiatoday.co.kr/file/2025y/01m/22d/20250122010012148_250.jpg,삼성SDI가 미래 성장동력 확보를 위한 연구개발에 박차를 가하고 있다. 전기차 캐즘을 돌파하기 위해선 배터리 혁신을 통한 성능 극대화가 시급하다는 분석이 나온다. 이에 삼성SDI는 '꿈의 배터리'로 불리는 전고체 개발 등을 위해 매년 연구개발 투자금액을 늘리고 있다.22일 삼성SDI에 따르면 지난해 연간 연구개발비는 2023의 약 1조 1000억 원 기록을 넘어 최고치를 기록할 것으로 예상된다. 지난해 3분기 누적 연구개발비는 9861억원으로..,,https://www.asiatoday.co.kr/kn/view.php?key=20250122010012148,아시아투데이
동반성장에 앞장선 배민 “상생요금제 도입…매출 적어도 혜택 볼 것”,https://img.asiatoday.co.kr/file/2025y/01m/22d/20250122010012046_250.jpg,"배달앱 배달의민족 운영업체 우아한형제들이 중개수수료 인하안을 담은 상생요금제를 도입하며 업주들과의 상생에 본격 나선다.22일 우아한형제들에 따르면 회사는 오는 2월 26일부터 3년간 중개수수료를 9.8%에서 2.0~7.8%로 인하하는 내용을 담은 상생요금제를 도입할 계획이다. 상생요금제는 '배민1플러스'를 이용하는 업주를 대상으로, 배민 내 매출 규모에 따라 4개 구간으로 나눠 중개이용료와 업주 부담 배달비를 차등 적용(부가가치세 별도)한다...",,https://www.asiatoday.co.kr/kn/view.php?key=20250122010012046,아시아투데이
